문의 내용,카테고리
"제가 실수로 두 번 주문했는데 하나 취소하고 환불받을 수 있나요?",환불 요청
"배송 전이라 전체 취소하고 싶은데 환불 수수료는 얼마인가요?",환불 요청
"색상이 마음에 들지 않아서 반품하고 환불받고 싶습니다.",환불 요청
"앱에서 결제하기 버튼이 눌리지 않아요. 어떻게 해결하나요?",기술 지원
"로그인이 계속 실패하는데 무슨 문제인가요?",기술 지원
"상품 등록 시 사진이 업로드되지 않습니다.",기술 지원
"비밀번호를 잊어버렸는데 어떻게 재설정하나요?",계정 관리
"이메일 주소를 변경하고 싶은데 가능한가요?",계정 관리
"회원 탈퇴는 어떻게 하나요?",계정 관리
"주문한 상품이 언제 도착하나요?",주문/배송 문의
"배송지를 잘못 입력했는데 수정 가능한가요?",주문/배송 문의
"주문한 상품이 아직 발송되지 않았나요?",주문/배송 문의
"제품 사용 설명서를 받을 수 있나요?",기타 문의
"매장 위치와 영업시간을 알고 싶어요.",기타 문의
"적립금은 언제까지 사용 가능한가요?",기타 문의
